private String name,private int A,private int B,private int C,private int D,private int E,private int F,private int G,private int H,private int I,private int J,private int K,private int L,private int M,private int N,private int O,private int P,private int Q,private int R,private int S,private int T,private int U,private int V,private int W,private int X,private int Y,private int Z,private int AA,private int AB,private int AC,private int AD,private int AE,private int AF,private int AG,private int AH,private int AI,private int AJ,private int AK,private int AL,private int AM,private int AN,private int AO,private int AP,private int AQ,private int AR,private int AS,private int AT,private int AU,private int AV,private int AW,private int AX,private int AY,private int AZ,private int BA,private int BB,private int BC,private int BD,private int BE,private int BF,private int BG,private int BH,private int BI,private int BJ,private int BK,private int BL,private int BM,private int BN,private int BO,private int BP,private int BQ,private int BR,private int BS,private int BT,private int BU,private int BV,private int BW,private int BX,private int BY,private int BZ,private int CA,private int CB,private int CC,private int CD,private int CE,private int CF,private int CG,private int CH,private int CI,private int CJ,private int CK,private int CL,private int CM,private int CN,private int CO,private int CP,private int CQ,private int CR,private int CS,private int CT,private int CU,private int CV
Test0,1816810884,-642774046,-481390760,-1419081290,-343160360,-600162729,-1068786781,-252230626,-1220021582,2061114541,-541489808,-497944501,256598059,891133528,-461248929,283326808,-429667343,-241721235,-1119866789,-1798962895,1343993418,2105759827,-1411957691,1556923494,1109675864,287292859,108961492,1436774210,1839083679,-1476190259,-1890195530,1802215452,-394941756,-1275700829,2143956731,-1322142996,655338391,1172986362,-1023634253,946762273,516980819,-493751770,203331285,1907523760,-1831471069,-1303044026,1436770658,-1143615120,-1982682392,-437106503,577993929,299286436,-963614663,91558608,1967292045,1715051737,545002155,1701960900,-1577279452,376621042,-1761776815,1508899562,-868458462,921870721,-2055106170,-1906559452,1645646230,436990295,256326377,-2122302053,512589236,107123037,-1922570327,-887947350,-253625421,1310290341,-544631038,21044765,-2013027592,-338409029,475578374,-1093930598,-1848673420,387091265,1789039264,290508895,-18952119,1538156986,853787861,305237037,-1281488717,832834469,1268805709,1722964867,142453541,-1208862514,-182598638,477143567,-1014108494,-2136532513
Test1,593399446,-1046918047,-537428306,-1841242819,-1278221318,-1686326559,2043303061,1018385681,1059284109,-1786169341,-1463432150,-874454364,-2086082670,2106922424,2034980323,-1083817233,827428421,-1544352217,-1444975740,360583282,-1163754720,894759836,1672653577,-1917186492,-981604006,221920192,-135840824,228429931,-1072906065,819466762,1340400087,-1778018963,-780353178,793484661,1733321642,1644193062,-135170928,-742494861,-396286463,-813709092,1161301133,-1540341215,429531648,-445763440,918667732,-1021795397,1419352479,-1973397098,-2090813454,-700056239,2063937092,-2136847769,377466578,1770467002,1993227693,-923289674,2102199359,-351811127,275032339,1112876736,-1160394329,1494642367,-164861300,-346529560,1150677538,948960255,116169904,-1751380862,231660721,-1751022328,53794943,-798261522,-985284918,356402334,304090498,-484893719,1126150932,-238682550,-1029031889,1351276063,598306926,-1809087739,-968844655,1052091651,2083843381,665996591,-779461848,-1627782173,-921210170,-1403689018,1205972493,820039222,-1149835967,643372243,1658055769,-1327952584,-2093137008,1537992487,-612287033,-2087941448
Test2,-243948633,-2032975033,236632216,1097481520,969289484,-1838515292,-1706550346,946004246,-756096102,1023081487,-2077456612,1824871281,-1502798719,375863403,1398003316,-890404434,1390421904,-1249291613,88637953,592577203,734751414,423734238,1798056383,-1901482700,269934021,-1556032271,-1565839672,-375144634,1601625209,-275017195,1564868344,-62756047,-1041197895,1643046361,191952596,1905319305,473994524,851793753,1572208039,778768511,-1271054418,625862576,-485408787,-1700855692,-106486541,-1719113046,2071243765,-1542187569,-1368028373,554841790,1710494913,1360975887,-707942953,-434117,-1915347152,-1695269341,917979515,1990980544,1860459870,-1802424328,-1215699034,1769726960,706165835,-90174124,-46547153,-58220954,-966744134,-1490072094,-1369723712,1130527719,-668825509,-710308211,1630304152,-505970730,51150891,162570256,2120152716,-774628628,-1074886373,-75339058,1815185742,-919608025,683956719,1873263582,-695508495,2078376707,320320873,-216379542,1441161900,864037351,-1575614554,1242606649,-2016242723,-1628145694,-2003307065,-76307319,-1658030511,-63794538,639615954,-555053023
Test3,-1276135998,-1392328332,1522382042,1554551719,153354144,914159401,-1692939938,636913966,855245332,-1674641833,1506050031,1763335699,1879758657,-215204472,201227284,-873072119,2131517644,432096863,-810469519,197460849,-160344162,1433707536,1446846757,-821947154,1301550056,-2053006063,609472372,-1510918088,-1787342489,-460268527,1244866470,534166065,-1642564632,1992176681,1787863086,1270787125,453185550,926544976,-1745616627,-1792366923,1854782547,1812430356,1112753784,608215302,-2094764468,-314436729,129468856,1198453366,1971644464,1491865718,-993192879,-819539808,2115369626,1792803553,733938022,479190785,986357389,-276932954,-2099179173,925672394,848178105,-262567810,-273640517,-460261897,-1488507140,-441576403,-136344740,633911456,-799890134,2020250101,665546945,-383879282,-1389257199,-163596469,888354495,1104591120,1396673463,1042755277,-2020182686,997071119,-102252059,158038898,-203301104,-533364384,-348853784,-345089278,963339247,1560875865,-1157796202,-1001497655,-1308448892,848533158,-644078449,929274247,-1618957156,425296221,1616163524,-1181297238,-292824209,-303829682
Test4,964132669,739598014,-1374435839,-2028663136,-313449450,-1726514396,697978571,1999962009,321761482,1637239553,-1382672997,836695484,-612877389,120149369,-879472969,48509976,1367574481,1007891741,629041224,1572556510,-921648438,940054433,-1362484746,-681077707,-1451909327,-1582299950,631306959,791522890,781405962,110239942,-1619650196,304599722,1256465037,-1405788844,575672918,1142756051,503172906,18239174,-931254107,-500915705,1011000013,-1848043571,499590378,-220781469,-1621350557,-770072395,-1382465970,693984048,-1749157221,1605078489,-408776197,-171130247,-1776820752,2118035800,96056506,-617090083,2089435879,661894152,-781849892,-1008606554,987813781,733532586,-2099252642,996164889,1800066916,-234617761,1431489351,912965391,507585557,-1963627686,1454776917,1440326084,-255431928,508704983,-753778216,1731220718,1479400123,-2090560692,228043996,-1505968879,-161928048,-723790371,-1275934579,-501861615,19334866,2055988244,736507863,-379854584,-875103495,-568228656,-21181108,1597741145,1371055149,1724708990,-741460149,-2117634811,47163912,2051227271,-1587557795,1001513533
Test5,-848385120,-494289399,-1680011806,-1393765321,2137478852,-821606968,2096754412,-803058875,-1366413436,-1617914010,-1458913942,63534114,-1221276682,550891986,-1896065144,-1778583153,1613072439,-302362882,286861142,1735154462,-220727632,1383352532,1752028839,-989110964,876974234,-2065442454,-2073371333,-2034243883,-1959105853,377973363,-2104603360,-1266688188,-1401556335,1588455416,1085505876,-1604984119,-2018773177,-718615992,-430140753,-740499634,-1699314809,1168919341,1478735615,3141323,-1236448489,-2027734432,180416116,-2125659431,429895911,-1586551490,1794286398,-21088891,1417324882,-1351039558,-1017241740,1548145511,-629932892,806349973,191298871,-208768270,-1591169572,729897677,-1739918057,-191517428,-1875605070,-1708376494,650227381,-1553642784,1063592410,-928627201,-449415256,-551420685,1326102666,997753031,-139721564,784068469,594403386,1852734511,-1397186343,1259524057,-1885809750,219436539,957050776,1792808871,-519058903,848803116,584164412,723693712,637783059,1510661673,-1973627833,-585873982,-1774204006,-599239109,-1881552950,-398338434,-456653367,-911685058,955870218,1153326567
Test6,1495265222,849620117,1399049312,1541383195,-743754665,1452424798,-337169055,-1106080633,81954215,-229771290,2094261821,-2123008650,-614643896,-54360993,35058796,218135787,2101171323,1822409936,-1515371130,-399720783,-2036701521,1138724428,-852376718,-1937186896,73326663,-1566304410,2010656451,1857714817,31457184,1317751011,894972766,-1806614205,194494034,622454193,-1872583841,1019865263,-754523980,-1029915112,-1133183939,-479448983,-81135195,571302446,1031641643,1049664665,-632002935,-1318385776,1241857473,-997215046,-906983534,-808479154,-323434533,-1603937359,248821824,-1567354585,-1569173567,758388001,-506409942,-732508939,-54593657,-378057731,269489150,115944298,-276225353,240447070,-1171771707,1599196412,202699564,1576333974,393030507,-1536463330,1228091456,1791924612,-978862466,1819796400,-862127063,1112441385,198348854,-8262985,-1054540896,-1936596357,-850401611,182435664,-639577149,1918630265,2052665486,1624485601,215097915,-551022977,-1770114165,-1788405358,241456033,-2138336806,-14556246,-630221061,-1937310691,-1958661473,-1103157655,2138386974,1518507600,980352440
Test7,966788675,-1708396393,404737139,-330900929,139860601,-1197336302,764915648,21100302,-1075108075,-362287876,-1404730864,1580006806,-55756501,-1324562052,410580421,-565961232,-1528183966,2107171748,-850262039,-1359263695,-1843429710,-1217784861,1853741207,-1677711615,224858990,72180926,926819737,-1261916306,-774975867,-1055500097,1352354642,1994021373,6678276,-1735386195,1010495454,639850754,-763881506,-1414262020,-1135362953,679501873,390238703,1020559751,98093338,-669068940,662145598,-1356778884,-293757335,722756350,-227153790,-2015928426,-958533166,-226323809,-479274521,97339026,-1474134031,304970329,1611353105,-1709366821,-835802829,2144524852,-1698720672,-927303545,-1443318597,-1056478386,-249837706,-1527252602,1432935816,-64106443,1716225269,-1682745832,154766807,377206393,1407204237,-1639985281,-669684539,725024123,-1020450507,226454518,-690609608,1620965003,674012087,925239009,-1164905216,-1970597326,1348089202,2132848709,-263411912,-1961521461,744897115,-808513671,168703218,729152600,-681432764,-60572387,-1214228206,-2071025262,-1857608351,-325334965,693369978,-1679471039
Test8,-1044712441,-1353917684,-566889625,-925071666,-83848523,-1521700339,1343794458,-875498218,407742808,2133580690,1687599546,1453791872,915299530,-1586957909,-585282952,-1986773167,1865762203,-77544540,1868304372,-1732379842,-229798124,2022908609,-1653990690,1156657986,-1411284360,-384088534,-1748655392,-194338639,-651689331,-1196033500,1431230395,1169700237,1745861466,-1432416638,-323215184,-1084493288,1206323761,1731377242,168324640,1749942186,-800333329,1037490938,-280854154,1493509316,1954492290,-1921291236,-986820796,-1081481628,1089176235,-1086298279,1939333036,76147354,1197932292,1153631451,-850833151,816214107,-1867196092,897263447,1988878509,-376311660,1464526018,-1079167687,-1724506540,993934466,-324799177,-385625824,-1530417863,1402842432,1873811655,69739916,372586464,-1534117727,1686105666,-1293502507,-2012382731,-524910785,-883385434,1658451550,852132972,-1434572844,-869127960,2087908874,212901865,-778822713,-1283833101,1020007151,47083873,-1206617846,1645325040,-1590138807,1472742656,378621218,-2061838904,1396593585,995271501,1383230854,-1097564186,64649102,-1260481397,101318957
Test9,908278081,-1328811829,926692962,443518818,-300339815,1837216714,-1205958722,-503535654,1409002752,910967960,800427767,1281587207,968505499,1056325217,-1874706894,1946739118,499324841,-115778011,-707151354,483452599,274577605,-1850932053,-373037470,270892611,-864853145,-341417034,87776685,-1376966908,-1250755152,-1504589194,-1290586578,1067961032,1401219686,-1131428543,-651609683,524142421,-686800068,-443022206,-2016316582,796274812,-454888617,1938767601,147994606,1707515752,-245205491,-950238460,-2024403952,-1115675850,1262697967,385723300,279645433,813835978,1906378761,-1419645916,-520241318,-1428856864,-1103978649,-1882413202,1505192060,438180705,-554183461,238159487,1862686121,150371063,728280829,354550292,1100527050,-835291165,-333900173,-1947348059,1324935505,1916321549,288653938,-1543569006,-1601934248,-1786201508,946432388,-770278756,-2065383670,-27829432,-300647797,1788703894,746844225,-237405524,-1275600379,-124190117,1559015025,764142048,-104128623,-1704159998,-476052797,-1887022841,229912497,-1180246960,1827216004,902305444,1417874896,-958940563,2027537088,-671216525
